Make,Model,CO2 Emissions(g/km)
LAND ROVER,Range Rover Velar P380,273
LEXUS,ES 350 F SPORT,219
LEXUS,RX 450h L AWD,190
LEXUS,UX 200,168
LEXUS,UX 250h,130
LEXUS,UX 250h AWD,140
LINCOLN,Nautilus,250
MASERATI,Levante GTS,360
MASERATI,Levante Trofeo,360
MAZDA,CX-5 Turbo 4WD,230
MAZDA,CX-5 Diesel 4WD,227
MAZDA,Mazda3 4-Door (Cylinder Deactivation),183
MAZDA,Mazda3 4-Door 4WD,192
MAZDA,Mazda3 5-Door 4WD,204
MERCEDES-BENZ,A 220,195
MERCEDES-BENZ,A 220 4MATIC,199
MERCEDES-BENZ,A 250,192
MERCEDES-BENZ,A 250 4MATIC,201
MERCEDES-BENZ,AMG C 43 4MATIC Wagon,255
MERCEDES-BENZ,AMG CLS 53 4MATIC+,235
MERCEDES-BENZ,AMG E 53 4MATIC+,232
MERCEDES-BENZ,AMG E 53 4MATIC+ Cabriolet,245
MERCEDES-BENZ,AMG E 53 4MATIC+ Coupe,237
MERCEDES-BENZ,AMG E 53 4MATIC+ Wagon,239
MERCEDES-BENZ,AMG E 63 S 4MATIC+,318
MERCEDES-BENZ,AMG E 63 S 4MATIC+ Wagon,299
MERCEDES-BENZ,AMG GLC 63 S 4MATIC+,309
MERCEDES-BENZ,AMG GLC 63 S 4MATIC+ Coupe,309
MERCEDES-BENZ,AMG GT 53 4MATIC+ Coupe,264
MERCEDES-BENZ,AMG GT 63 4MATIC+ Coupe,323
MERCEDES-BENZ,AMG GT 63 S 4MATIC+ Coupe,324
MERCEDES-BENZ,AMG S 63 4MATIC+,275
MERCEDES-BENZ,AMG S 63 4MATIC+ Cabriolet,306
MERCEDES-BENZ,AMG S 63 4MATIC+ Coupe,271
MERCEDES-BENZ,CLS 450 4MATIC,213
MERCEDES-BENZ,E 450 4MATIC,244
MERCEDES-BENZ,E 450 4MATIC Cabriolet,271
MERCEDES-BENZ,E 450 4MATIC Coupe,257
MERCEDES-BENZ,E 450 4MATIC Wagon,254
MERCEDES-BENZ,Maybach S 560 4MATIC,286
MERCEDES-BENZ,Metris Cargo LWB,248
NISSAN,Altima SR/Platinum,190
NISSAN,Altima AWD,186
NISSAN,Altima AWD SR/Platinum,190
PORSCHE,911 Carrera T,248
PORSCHE,911 GT2 RS,315
PORSCHE,911 GT3 RS,335
PORSCHE,911 GT3 Touring,334
PORSCHE,911 Speedster,350
PORSCHE,911 Turbo S Exclusive Cabriolet,297
PORSCHE,Panamera GTS ST,313
RAM,1500 eTorque,253
RAM,1500 HFE eTorque,246
RAM,1500 4X4 eTorque,260
RAM,1500 Classic EcoDiesel,278
RAM,1500 Classic FFV,280
RAM,1500 Classic,346
RAM,1500 Classic 4X4 EcoDiesel,289
RAM,1500 Classic 4X4 FFV,294
RAM,1500 Classic 4X4,382
ROLLS-ROYCE,Cullinan,382
SUBARU,Ascent AWD,244
TOYOTA,Corolla LE Eco,163
TOYOTA,Corolla Hatchback,157
TOYOTA,Prius AWD,109
VOLKSWAGEN,Arteon 4MOTION,244
VOLVO,XC40 T5 AWD,211
ACURA,TLX SH-AWD A-SPEC/Limited Edition,240
AUDI,A6 allroad,247
AUDI,R8 Coupe,347
BMW,330i xDrive Sedan,195
BMW,430i Coupe,204
BMW,530i xDrive Sedan,206
BMW,540i xDrive Sedan,222
BMW,M340i xDrive Sedan,233
BMW,M550i xDrive Sedan,273
BMW,M760i xDrive Sedan,354
BMW,M8 Cabriolet,322
BMW,M8 Cabriolet Competition,322
BMW,M8 Coupe,322
BMW,M8 Coupe Competition,322
BMW,M8 Gran Coupe,322
BMW,M8 Gran Coupe Competition,322
BMW,M850i xDrive Gran Coupe,290
BMW,X2 M35i,210
BMW,X3 M,339
BMW,X3 M Competition,339
BMW,X4 M,339
BMW,X4 M Competition,339
BMW,X5 M50i,302
BMW,X6 xDrive40i,245
BMW,X6 M50i,302
BMW,X7 M50i,318
BMW,Z4 sDrive30i,200
BMW,Z4 M40i,216
BUICK,Encore GX,198
BUICK,Encore GX AWD,199
CADILLAC,CT4,203
CADILLAC,CT4 AWD,213
CADILLAC,CT4-V,234
CADILLAC,CT4-V AWD,238
CADILLAC,CT5,209
CADILLAC,CT5 AWD,221
CADILLAC,CT5-V,263
CADILLAC,CT5-V AWD,276
CADILLAC,XT6 AWD,277
CHEVROLET,Silverado WT,275
CHEVROLET,Silverado WT 4WD,280
CHEVROLET,Silverado 4WD Custom Trail Boss,349
CHEVROLET,Silverado 4WD LT Trail Boss,307
CHRYSLER,Voyager (Stop-Start),249
DODGE,Challenger AWD,258
DODGE,Challenger Widebody (MDS),305
DODGE,Challenger SRT Hellcat Widebody,358
DODGE,Charger Widebody (MDS),305
DODGE,Charger SRT Hellcat Widebody,368
DODGE,Grand Caravan,276
FORD,Escape Hybrid,136
FORD,Escape Hybrid AWD,139
FORD,Explorer Hybrid AWD,225
FORD,Mustang Convertible (Performance Pkg),244
FORD,Shelby GT500 Mustang,392
FORD,T-150 Wagon FFV 4WD,352
FORD,Transit Connect Van LWB,219
GMC,Sierra WT,275
GMC,Sierra WT 4WD,280
HONDA,Insight EX/Touring,115
HYUNDAI,Palisade,250
HYUNDAI,Palisade AWD,265
HYUNDAI,Venue,178
JAGUAR,E-PACE P300,236
JAGUAR,F-PACE 30t,232
JAGUAR,F-PACE S,277
JAGUAR,F-PACE SVR,303
JAGUAR,F-TYPE P300 Convertible,215
JAGUAR,F-TYPE SVR AWD Convertible,299
JAGUAR,F-TYPE P300 Coupe,215
JAGUAR,F-TYPE SVR AWD Coupe,299
JAGUAR,XE P250 AWD,200
JAGUAR,XE P300 AWD,220
JAGUAR,XF 30t AWD,217
JAGUAR,XF S AWD,243
JEEP,Gladiator 4X4,290
JEEP,Wrangler 4X4 eTorque,259
JEEP,Wrangler Unlimited 4X4 eTorque,257
JEEP,Wrangler Unlimited 4X4 EcoDiesel,255
KIA,Telluride AWD,264
LAND ROVER,Discovery Sport P250,266
LAND ROVER,Discovery Sport P290,262
LAND ROVER,Range Rover 5.0 Supercharged LWB,305
LAND ROVER,Range Rover SVAutobiography Dynamic,354
LAND ROVER,Range Rover Sport SVR,336
LAND ROVER,Range Rover Evoque P250,245
LAND ROVER,Range Rover Evoque P300,242
LAND ROVER,Range Rover Velar P250,238
LAND ROVER,Range Rover Velar P340,273
LAND ROVER,Range Rover Velar SVAutobiography Dynamic,318
LINCOLN,Aviator,280
LINCOLN,Corsair AWD,229
LINCOLN,Nautilus AWD,250
MASERATI,Ghibli S Q4,295
MASERATI,Quattroporte S Q4,301
MAZDA,CX-3 (SIL),186
MAZDA,CX-30,189
MAZDA,CX-30 4WD,202
MAZDA,CX-30 4WD (Cylinder Deactivation),200
NISSAN,Sentra SR,171
ROLLS-ROYCE,Cullinan Black Badge,386
TOYOTA,Camry TRD,220
TOYOTA,Camry AWD LE/SE,190
TOYOTA,Camry AWD XLE/XSE,197
TOYOTA,Corolla XLE,170
TOYOTA,Corolla XSE,164
TOYOTA,Corolla Hybrid,106
TOYOTA,GR Supra,208
TOYOTA,Highlander Hybrid AWD Limited/Platinum,156
TOYOTA,RAV4 AWD TRD Off-Road,200
TOYOTA,Tacoma 4WD D-Cab TRD Off-Road/Pro,300
VOLKSWAGEN,Atlas Cross Sport 4MOTION,273
VOLVO,XC40 T4 AWD,210
