Make,Model,CO2 Emissions(g/km)
INFINITI,QX60,244
INFINITI,QX60 AWD,253
INFINITI,QX60 HYBRID AWD,196
INFINITI,QX70 AWD,294
INFINITI,QX80 4WD,345
JAGUAR,F-TYPE CONVERTIBLE,237
JAGUAR,F-TYPE S CONVERTIBLE,244
JAGUAR,F-TYPE V8 S CONVERTIBLE,294
JAGUAR,XF,242
JAGUAR,XF 3.0L AWD,281
JAGUAR,XFR,306
JAGUAR,XFR-S,306
JAGUAR,XJ AWD,285
JAGUAR,XJ SUPERCHARGED,306
JAGUAR,XJL AWD PORTFOLIO,285
JAGUAR,XJL SUPERCHARGED,306
JAGUAR,XJR,306
JAGUAR,XJR LWB,306
JAGUAR,XK CONVERTIBLE,301
JAGUAR,XK COUPE,290
JAGUAR,XKR CONVERTIBLE,315
JAGUAR,XKR COUPE,310
JAGUAR,XKR-S CONVERTIBLE,315
JAGUAR,XKR-S COUPE,310
JEEP,CHEROKEE,218
JEEP,CHEROKEE 4X4,230
JEEP,CHEROKEE 4X4 ACTIVE DRIVE II,232
JEEP,CHEROKEE TRAILHAWK 4X4,251
JEEP,COMPASS,228
JEEP,COMPASS 4X4,235
JEEP,COMPASS 4X4 TRAIL RATED,255
JEEP,GRAND CHEROKEE 4X4 (MDS),340
JEEP,GRAND CHEROKEE 4X4 DIESEL,267
JEEP,GRAND CHEROKEE 4X4 FFV,278
JEEP,GRAND CHEROKEE SRT 4X4 (MDS),363
JEEP,PATRIOT,228
JEEP,PATRIOT 4X4,235
JEEP,PATRIOT 4X4 TRAIL RATED,255
JEEP,WRANGLER 4X4 (2-DOOR),294
JEEP,WRANGLER UNLIMITED 4X4 (4-DOOR),308
KIA,CADENZA,251
KIA,FORTE,191
KIA,FORTE 5,223
KIA,FORTE KOUP,216
KIA,OPTIMA,228
KIA,OPTIMA HYBRID,143
KIA,OPTIMA HYBRID EX,147
KIA,RIO,175
KIA,RIO ECO,175
KIA,RONDO,212
KIA,SEDONA,276
KIA,SORENTO,237
KIA,SORENTO 4WD,253
KIA,SOUL,205
KIA,SOUL ECO Dynamics,202
KIA,SPORTAGE,230
KIA,SPORTAGE AWD,262
LAMBORGHINI,AVENTADOR COUPE,421
LAMBORGHINI,GALLARDO COUPE,361
LAND ROVER,LR2,274
LAND ROVER,LR4,334
LAND ROVER,RANGE ROVER EVOQUE,225
LAND ROVER,RANGE ROVER EVOQUE COUPE,225
LAND ROVER,RANGE ROVER LWB V8 5.0 SC,354
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,347
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC,285
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,285
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC,345
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,338
LAND ROVER,RANGE ROVER V6 3.0 SC,283
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,283
LAND ROVER,RANGE ROVER V8 5.0 SC,354
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,347
LEXUS,CT 200h,129
LEXUS,ES 300h,138
LEXUS,ES 350,221
LEXUS,GS 350,239
LEXUS,GS 350 AWD,253
LEXUS,GS 450h,175
LEXUS,GX 460,320
LEXUS,IS 250,223
LEXUS,IS 250 AWD,239
LEXUS,IS 250 C,223
LEXUS,IS 350,244
LEXUS,IS 350 AWD,253
LEXUS,IS 350 C,244
LEXUS,IS F,290
LEXUS,LS 460,283
LEXUS,LS 460 AWD,297
LEXUS,LS 460 L AWD,297
LEXUS,LS 600h L,262
LEXUS,LX 570,380
LEXUS,RX 350 AWD,269
LEXUS,RX 450h AWD,189
LINCOLN,MKS AWD,271
LINCOLN,MKT AWD,294
LINCOLN,MKT LIVERY,235
LINCOLN,MKT LIVERY AWD,281
LINCOLN,MKX AWD,281
LINCOLN,MKZ,207
LINCOLN,MKZ AWD,262
LINCOLN,MKZ HYBRID,145
LINCOLN,NAVIGATOR 4X4 FFV,368
MASERATI,GHIBLI,292
MASERATI,GHIBLI AWD,292
