Make,Model,CO2 Emissions(lbs/mile)
LAND ROVER,LR4,0.457633045
LAND ROVER,RANGE ROVER EVOQUE,0.308285734
LAND ROVER,RANGE ROVER EVOQUE COUPE,0.308285734
LAND ROVER,RANGE ROVER LWB V8 5.0 SC,0.485036222
LAND ROVER,RANGE ROVER LWB V8 5.0 SC FFV,0.47544511
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC,0.390495263
LAND ROVER,RANGE ROVER SPORT V6 3.0 SC FFV,0.390495263
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC,0.472704792
LAND ROVER,RANGE ROVER SPORT V8 5.0 SC FFV,0.46311368
LAND ROVER,RANGE ROVER V6 3.0 SC,0.387754945
LAND ROVER,RANGE ROVER V6 3.0 SC FFV,0.387754945
LAND ROVER,RANGE ROVER V8 5.0 SC,0.485036222
LAND ROVER,RANGE ROVER V8 5.0 SC FFV,0.47544511
LEXUS,CT 200h,0.176750488
LEXUS,ES 300h,0.189081917
LEXUS,ES 350,0.302805099
LEXUS,GS 350,0.327467957
LEXUS,GS 350 AWD,0.346650181
LEXUS,GS 450h,0.239777793
LEXUS,GX 460,0.438450822
LEXUS,IS 250,0.305545416
LEXUS,IS 250 AWD,0.327467957
LEXUS,IS 250 C,0.305545416
LEXUS,IS 350,0.334318752
LEXUS,IS 350 AWD,0.346650181
LEXUS,IS 350 C,0.334318752
LEXUS,IS F,0.397346057
LEXUS,LS 460,0.387754945
LEXUS,LS 460 AWD,0.406937169
LEXUS,LS 460 L AWD,0.406937169
LEXUS,LS 600h L,0.35898161
LEXUS,LX 570,0.520660351
LEXUS,RX 350 AWD,0.368572722
LEXUS,RX 450h AWD,0.258960017
LINCOLN,MKS AWD,0.37131304
LINCOLN,MKT AWD,0.402826692
LINCOLN,MKT LIVERY,0.321987322
LINCOLN,MKT LIVERY AWD,0.385014628
LINCOLN,MKX AWD,0.385014628
LINCOLN,MKZ,0.283622875
LINCOLN,MKZ AWD,0.35898161
LINCOLN,MKZ HYBRID,0.198673029
LINCOLN,NAVIGATOR 4X4 FFV,0.504218445
MASERATI,GHIBLI,0.400086375
MASERATI,GHIBLI AWD,0.400086375
MASERATI,GRANTURISMO,0.47544511
MASERATI,GRANTURISMO CONVERTIBLE,0.482295904
MASERATI,QUATTROPORTE GTS,0.457633045
MASERATI,QUATTROPORTE SQ4,0.412417804
MAZDA,CX-5,0.258960017
MAZDA,CX-5 4WD,0.268551128
MAZDA,CX-9,0.387754945
MAZDA,CX-9 4WD,0.397346057
MAZDA,MAZDA2,0.242518111
MAZDA,MAZDA3 4-DOOR,0.217855252
MAZDA,MAZDA3 4-DOOR (i-ELOOP),0.230186681
MAZDA,MAZDA3 4-DOOR (SIL),0.22059557
MAZDA,MAZDA3 5-DOOR,0.223335887
MAZDA,MAZDA3 5-DOOR (i-ELOOP),0.230186681
MAZDA,MAZDA3 5-DOOR (SIL),0.227446364
MAZDA,MAZDA5,0.305545416
MAZDA,MAZDA6,0.239777793
MAZDA,MAZDA6 (i-ELOOP),0.230186681
MAZDA,MX-5,0.321987322
MERCEDES-BENZ,B 250,0.252109222
MERCEDES-BENZ,C 250,0.295954305
MERCEDES-BENZ,C 250 COUPE,0.295954305
MERCEDES-BENZ,C 300 4MATIC FFV,0.331578434
MERCEDES-BENZ,C 350,0.331578434
